Word Part-Of-Speech Frequency
a-ha U 64.0
toleration N 643.0
chirp V 868.0
travesty N 478.0
gale-force J 93.0
nearsighted J 205.0
tranquility N 742.0
ruff V 36.0
porterhouse N 72.0
shantytown N 313.0
stapled J 41.0
reapplication N 33.0
mesic J 85.0
splintering N 69.0
illusion N 6401.0
mugging N 218.0
favor N 9602.0
paisano N 45.0
demonstratively R 30.0
blood-sucking J 74.0
gigabit N 106.0
farmyard N 157.0
sir N 26803.0
disastrously R 166.0
expedited J 164.0
major V 1005.0
ad-libbed J 47.0
fanaticism N 442.0
rich J 38766.0
prime V 1111.0
folktale N 269.0
subtropics N 27.0
abstractionist N 49.0
justifiable J 699.0
multicultural J 3406.0
pittance N 269.0
attestation N 88.0
aerobically R 89.0
prostatectomy N 138.0
sound R 806.0
anti-tamil J 25.0
ego N 5689.0
handcart N 90.0
ingest V 794.0
stonefly N 56.0
substance-abusing J 37.0
steel J 24.0
refresher N 267.0
driveway N 5941.0
reprimand V 737.0
maguey N 51.0
carbonate V 76.0
aeon N 70.0
losing N 256.0
rock-strewn J 70.0
impassively R 246.0
fluorocarbon N 61.0
seventy-fifth M 36.0
anchored J 76.0
besieger N 25.0
speculation N 6133.0
neon-green J 21.0
serialized J 98.0
health-insurance J 199.0
verity N 250.0
socialite N 530.0
irresolute J 46.0
long-simmering J 85.0
two-edged J 101.0
gesture N 11391.0
planter N 1247.0
influx N 2079.0
ex-army J 21.0
cannibalistic J 151.0
pure J 14765.0
burbling J 42.0
industrial-grade J 28.0
philosophic J 436.0
carbon-based J 112.0
thin J 25212.0
commissary N 36.0
edible N 138.0
dysfunction N 1991.0
celluloid N 293.0
there R 359766.0
peccadillo N 45.0
biochemistry N 522.0
misspelled J 60.0
actually R 116147.0
molting J 20.0
boastfully R 24.0
self-starter N 55.0
ham-fisted J 42.0
pigeon N 2440.0
apprehend V 1184.0
heinous J 704.0
used J 20717.0
crinkle N 98.0
electron-hole J 27.0
coordinator N 7089.0
drip N 1361.0
booth N 7907.0
abide V 2121.0
seasoning N 2173.0
clique N 749.0
mismatch N 659.0
transistor N 1062.0
pastness N 26.0
sustainer N 44.0
sled-dog J 25.0
disable V 1355.0
subcontract N 160.0
unchained J 73.0
troublingly R 22.0
tetracycline N 167.0
way R 7261.0
packet N 3636.0
grabber N 125.0
darnedest J 40.0
muddle V 446.0
anon R 65.0
cross-purpose N 85.0
starvation N 1683.0
dropsy N 20.0
postclassic J 24.0
tie-dyed J 133.0
harmonization N 263.0
disappointingly R 126.0
state V 52092.0
get-acquainted J 32.0
leukocytosis N 25.0
horned J 494.0
basketball N 22421.0
garden-variety J 220.0
unmasking N 54.0
heroic J 3562.0
poise V 3574.0
lugged J 25.0
dumpster N 1062.0
kilohertz N 23.0
strategic J 13522.0
distinctly R 2290.0
cumbia N 74.0
non-corrosive J 40.0
excoriation N 27.0
span N 4204.0
excavate V 1718.0
constantly R 14135.0
homiletics N 28.0
posh J 953.0
chloroplast N 80.0
removal N 5964.0
labor N 37519.0
public-land J 46.0
diced J 622.0
attracting J 956.0
topsail N 32.0
presumptuous J 385.0
improvisation N 1803.0
billowy J 142.0
slap-happy J 23.0
slaying N 773.0
pretence N 55.0
huckster N 196.0
brashly R 52.0
neighbouring J 112.0
daub N 63.0
homeopath N 96.0
sarcastically R 508.0
paleolithic J 268.0
receptive J 1654.0
typescript N 135.0
symbiosis N 335.0
elven J 169.0
subregion N 131.0
seized J 97.0
plastic-coated J 32.0
secretion N 624.0
bulgur N 257.0
moveable J 180.0
double-checking N 39.0
floor-to-ceiling J 371.0
clumpy J 84.0
puree N 1580.0
animal-print J 29.0
five-eight M 38.0
disheartened J 63.0
sablefish N 43.0
medicine N 27859.0
vie V 2169.0
urologic J 37.0
despondency N 149.0
third-and-long J 23.0
pinching N 39.0
tailback N 684.0
condescend V 137.0
panfish N 104.0
aquatint V 31.0
desolate J 1149.0
ego-driven J 25.0
bioreactor N 70.0
cyberterrorism N 37.0
walk-through N 27.0
middle-american J 34.0
irrationality N 281.0
intend V 25406.0
veteran J 5782.0
dispenser N 667.0
straightforwardly R 166.0
no-risk J 39.0
near-total J 128.0
portugese J 19.0
twelfth-century J 180.0
overdramatize V 33.0
salon N 4665.0
snowfall N 930.0
map N 25533.0
sectarianism N 108.0
requested J 303.0
bible-believing J 27.0
coquettishly R 42.0
diploid J 76.0
differentiated J 261.0
continuum N 2280.0
gimmickry N 55.0
stripping N 40.0
slavish J 131.0
encircled J 23.0
airsickness N 19.0
parterre N 102.0
piercing J 1038.0
infuse V 2055.0
nullify V 535.0
larger-than-life J 436.0
affiliate V 1653.0
hawk-like J 42.0
sanitarium N 155.0
five-shot J 48.0
inducement N 568.0
in I 7557934.0
volcanologist N 71.0
payphone N 126.0
meaningfulness N 186.0
multidisciplinary J 821.0
ten-point J 45.0
forestry N 1582.0
back-end J 95.0
apache J 869.0
noncaloric J 28.0
carbide N 309.0
loyalty N 7026.0
rumination N 284.0
borderless J 107.0
disengaged J 47.0
arbitrarily R 656.0
walkover N 39.0
petrochemical J 378.0
fanny J 282.0
sweetbreads N 110.0
tarnish V 877.0
side-by-side R 718.0
fatherless J 247.0
in-box N 374.0
underwire N 33.0
amongst I 2514.0
romp N 450.0
maser N 185.0
irked J 26.0
fourth M 25230.0
brownian J 78.0
mismanage V 304.0
junction N 1781.0
roller-skating J 31.0
clearing J 674.0
crabby J 162.0
housewarming J 41.0
glass-bottomed J 26.0
lightbulb N 496.0
roar V 4997.0
target V 12161.0
reveler N 469.0
tinge N 535.0
border N 31025.0
deposit V 3123.0
loose-fitting J 202.0
playing J 2232.0
struggler N 35.0
single-season J 246.0
communicating J 356.0
beverage N 3225.0
deconstructive J 164.0
wordless J 401.0
entrenchment N 113.0
long-dead J 224.0
pug N 378.0
tribesman N 520.0
hypericum N 62.0
three-day-old J 31.0
drug-sniffing J 40.0
seizing N 34.0
elite N 13319.0
attenuator N 20.0
purging N 84.0
seat V 6789.0
teriyaki N 189.0
whenever R 15672.0
messaging N 728.0
oversensitive J 57.0
etiology N 714.0
romantic J 10404.0
laughter N 12846.0
homophobia N 793.0
unscrew V 504.0
hard-driving J 147.0
coal-bed J 34.0
eastward J 31.0
unmarred J 47.0
quick-and-dirty J 21.0
lass N 466.0
welsh J 1202.0
mussed J 31.0
musical-comedy J 23.0
apoplexy N 65.0
beguile V 187.0
tony-winning J 42.0
asynchrony N 28.0
free-radical J 58.0
clothe V 1381.0
pecuniary J 93.0
nine-yard J 35.0
boldface N 115.0
renounce V 1420.0
functionality N 696.0
signification N 406.0
fascination N 3063.0
sundial N 177.0
thyroid J 1126.0
price-gouging J 26.0
inflorescence N 53.0
post-hoc J 143.0
micromanage V 292.0
inclusive J 2390.0
shaggy J 850.0
conniving J 85.0
courtroom N 7136.0
quavering J 53.0
abstinence N 1601.0
half-lit J 46.0
hugely R 1275.0
cop-killer J 29.0
foot-tall J 32.0
nutrient-rich J 175.0
hieratic J 60.0
tight J 12692.0
sentimental J 2203.0
spatio-temporal J 124.0
rabbi N 4004.0
erg N 70.0
stiffening N 54.0
interannual J 46.0
straight-on J 30.0
delineate V 1540.0
stiffened J 144.0
gaol N 86.0
bridesmaid N 571.0
purge V 1204.0
switchover N 29.0
destiny N 4902.0
prissy J 231.0
commute V 3131.0
pyro N 118.0
fulfill V 4566.0
veiled J 771.0
curdled J 91.0
rattle V 4736.0
effervescence N 74.0
attempted J 2371.0
putt N 2124.0
birder N 294.0
oats N 1276.0
buoyancy N 814.0
easterner N 78.0
polishing N 411.0
breakup N 2673.0
repurchase N 148.0
falsifiable J 28.0
destructive J 4044.0
discriminative J 65.0
inequity N 1150.0
bogeyman N 198.0
starship N 861.0
acrobatics N 213.0
fluorine J 32.0
six-fold J 100.0
professional-quality J 50.0
betrothed J 86.0
crisply R 445.0
specialist J 153.0
counter N 12660.0
inattention N 463.0
sounding N 611.0
presented J 233.0
disabuse V 149.0
arab-israeli J 916.0
alpenglow N 31.0
tambour N 23.0
twinkle N 588.0
mudflat N 134.0
antioxidant N 1581.0
fifteen-year-old N 38.0
sumac N 194.0
relative N 14625.0
sunup N 204.0
low-stress J 41.0
sucking J 175.0
sandblasting N 26.0
misapplication N 57.0
district-level J 35.0
turn-on N 235.0
demagogue N 363.0
high-necked J 35.0
cheerfully R 1402.0
disposed J 241.0
proscribed J 92.0
fellah N 59.0
psycho N 844.0
rainwater N 872.0
cartouche N 52.0
load-carrying J 26.0
pond N 8493.0
school-record J 31.0
osteoporosis N 1778.0
terrapin N 68.0
reengineering J 23.0
invigorated J 40.0
whipsaw V 72.0
citric J 72.0
haptics N 26.0
thomistic J 89.0
crust V 301.0
anti-aging J 397.0
aconite N 51.0
pop N 9259.0
peeler N 382.0
flex-time J 23.0
post-apocalyptic J 94.0
accordance I 2518.0
firmly R 7759.0
traditional J 46771.0
computer-graphics J 21.0
forecaster N 949.0
local-option J 23.0
hortatory J 46.0
photographic J 3845.0
colossus N 351.0
kashmiri J 261.0
tightly R 7241.0
species-specific J 75.0
matey N 26.0
causality N 879.0
channel N 19258.0
reiki N 49.0
ewer N 110.0
single-family J 1010.0
seemly R 58.0
bobbin N 91.0
second-ranking J 49.0
megalomaniac N 91.0
chomp V 461.0
depending I 11394.0
blue-striped J 50.0
amanuensis N 27.0
forty-eighth M 31.0
production N 45334.0
phial N 34.0
yelping J 19.0
sloppy J 1824.0
recognised J 27.0
mandibular J 139.0
now-forgotten J 25.0
electron N 4678.0
scrolled J 44.0
strait-laced J 51.0
hypoxic J 85.0
wicking N 98.0
unstoppably R 30.0
tabla N 109.0
worst V 109.0
cap N 16247.0
perjury N 1917.0
embraceable J 44.0
self-managed J 33.0
penstemon N 95.0
allergist N 217.0
killjoy N 46.0
excellence N 4237.0
agrarian J 1156.0
avowedly R 97.0
desiring J 21.0
decrepitude N 92.0
explant N 25.0
obligingly R 206.0
cobblestone N 769.0
soft-hearted J 64.0
symptomatology N 247.0
mush N 408.0
well-staffed J 21.0
microwave V 116.0
on-call J 100.0
pounce N 30.0
circumciser N 23.0
gratuitously R 110.0
nine-minute J 45.0
unswerving J 126.0
free-weight J 19.0
impressively R 468.0
one-man J 1007.0
kafir N 34.0
clean-lined J 48.0
diffraction N 447.0
whistle N 3450.0
singular J 1874.0
overexpose V 58.0
pro-style J 46.0
minidisc N 40.0
ninety-day J 26.0
state-financed J 29.0
intelligibility N 264.0
shiver N 1103.0
right-field J 143.0
blooming R 96.0
pleural J 72.0
snow-covered J 480.0
superoxide N 47.0
decile N 27.0
westerly N 26.0
sixty-one M 258.0
byline N 285.0
containerized J 55.0
faultless J 101.0
lambda N 669.0
martini N 1746.0
grand-scale J 27.0
eighteen M 4653.0
detached J 1102.0
homeland-security J 30.0
numerous J 16521.0
disturbingly R 330.0
unsentimental J 185.0
four-night J 66.0
pollination N 358.0
epistemic J 289.0
manufacture N 1527.0
government-in-exile N 36.0
magnetized J 59.0
lax J 1211.0
unevenness N 101.0
contrarian N 126.0
jodhpur N 74.0
taupe N 222.0
quickness N 689.0
papoose N 74.0
hobby N 3337.0
obsolescent J 46.0
french-speaking J 250.0
centralizing J 45.0
teletype N 67.0
comparable J 5987.0
chime N 1102.0
unsound J 307.0
pandemonium N 387.0
skating N 861.0
route V 38.0
gubernatorial J 1078.0
delisting N 32.0
god-fearing J 242.0
hurrah U 173.0
habitus N 109.0
in-ground J 54.0
intercontinental J 592.0
sequence N 10852.0
indemnification N 90.0
steam-powered J 91.0
